DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
 21,19420609,    0,     ,
 21,19420610,    0,     ,
 21,19420611,    0,     ,
 21,19420612,    0,     ,
 21,19420613,   95,     ,
 21,19420614,   74,     ,
 21,19420615,    0,     ,
 21,19420616,   15,     ,
 21,19420617,    0,     ,
 21,19420618,   92,     ,
 21,19420619,    5,     ,
 21,19420620,    0,     ,
 21,19420621,    0,     ,
 21,19420622,    0,     ,
 21,19420623,    0,     ,
 21,19420624,    0,     ,
 21,19420625,    0,     ,
 21,19420626,    0,     ,
 21,19420627,    0,     ,
 21,19420628,    9,     ,
 21,19420629,    0,     ,
 21,19420630,    6,     ,
 21,19420701,   55,     ,
 21,19420702,    0,     ,
 21,19420703,    0,     ,
 21,19420704,    0,     ,
 21,19420705,    0,     ,
 21,19420706,    0,     ,
 21,19420707,   51,     ,
 21,19420708,    0,     ,
 21,19420709,    5,     ,
 21,19420710,    0,     ,
 21,19420711,  330,     ,
 21,19420712,   75,     ,
 21,19420713,    0,     ,
 21,19420714,   56,     ,
 21,19420715,   69,     ,
 21,19420716,    0,     ,
 21,19420717,   19,     ,
 21,19420718,  116,     ,
 21,19420719,  151,     ,
 21,19420720,   59,     ,
 21,19420721,   12,     ,
 21,19420722,    0,     ,
 21,19420723,   51,     ,
 21,19420724,   29,     ,
 21,19420725,   60,     ,
 21,19420726,    0,     ,
 21,19420727,    0,     ,
 21,19420728,  282,     ,
 21,19420729,    0,     ,
 21,19420730,    0,     ,
 21,19420731,    0,     ,
 21,19420801,    0,     ,
 21,19420802,    0,     ,
 21,19420803,   15,     ,
 21,19420804,   20,     ,
 21,19420805,    4,     ,
 21,19420806,    0,     ,
 21,19420807,    0,     ,
 21,19420808,    0,     ,
 21,19420809,   52,     ,
 21,19420810,    0,     ,
 21,19420811,    0,     ,
 21,19420812,    0,     ,
 21,19420813,    0,     ,
 21,19420814,    0,     ,
 21,19420815,    0,     ,
 21,19420816,   31,     ,
 21,19420817,   13,     ,
 21,19420818,    0,     ,
 21,19420819,    0,     ,
 21,19420820,   70,     ,
 21,19420821,    0,     ,
 21,19420822,    0,     ,
 21,19420823,   29,     ,
 21,19420824,    0,     ,
 21,19420825,    0,     ,
 21,19420826,    0,     ,
 21,19420827,    0,     ,
 21,19420828,    0,     ,
 21,19420829,    0,     ,
 21,19420830,    9,     ,
 21,19420831,   40,     ,
 21,19420901,   38,     ,
 21,19420902,  114,     ,
 21,19420903,    0,     ,
 21,19420904,   14,     ,
 21,19420905,   13,     ,
 21,19420906,    7,     ,
 21,19420907,   10,     ,
 21,19420908,    0,     ,
 21,19420909,    0,     ,
 21,19420910,    0,     ,
 21,19420911,    0,     ,
 21,19420912,    0,     ,
 21,19420913,   23,     ,
 21,19420914,    0,     ,
 21,19420915,    0,     ,
 21,19420916,   26,     ,
 21,19420917,   40,     ,
 21,19420918,   19,     ,
 21,19420919,    0,     ,
 21,19420920,    8,     ,
 21,19420921,   65,     ,
 21,19420922,   35,     ,
 21,19420923,   34,     ,
 21,19420924,   37,     ,
 21,19420925,  320,     ,
 21,19420926,  142,     ,
 21,19420927,    0,     ,
